n_layers,d_model (width),direction,type,FLOPS
1,512,FW,det_top_k k=256,10800795371
2,512,FW,det_top_k k=256,18104139223
3,512,FW,det_top_k k=256,25407483074
4,512,FW,det_top_k k=256,32710826926
5,512,FW,det_top_k k=256,40014170777
6,512,FW,det_top_k k=256,47317514628
7,512,FW,det_top_k k=256,54620858480
8,512,FW,det_top_k k=256,61924202331
9,512,FW,det_top_k k=256,69227546182
10,512,FW,det_top_k k=256,76530890034
20,512,FW,det_top_k k=256,149564328548
30,512,FW,det_top_k k=256,222597767062
1,1024,FW,det_top_k k=256,27977532688
2,1024,FW,det_top_k k=256,48980535841
3,1024,FW,det_top_k k=256,69983538993
4,1024,FW,det_top_k k=256,90986542145
5,1024,FW,det_top_k k=256,111989545298
6,1024,FW,det_top_k k=256,132992548450
7,1024,FW,det_top_k k=256,153995551602
8,1024,FW,det_top_k k=256,174998554754
9,1024,FW,det_top_k k=256,196001557907
10,1024,FW,det_top_k k=256,217004561059
20,1024,FW,det_top_k k=256,427034592582
30,1024,FW,det_top_k k=256,637064624105
1,2048,FW,det_top_k k=256,81670944916
2,2048,FW,det_top_k k=256,149413204263
3,2048,FW,det_top_k k=256,217155463611
4,2048,FW,det_top_k k=256,284897722959
5,2048,FW,det_top_k k=256,352639982306
6,2048,FW,det_top_k k=256,420382241654
7,2048,FW,det_top_k k=256,488124501002
8,2048,FW,det_top_k k=256,555866760349
9,2048,FW,det_top_k k=256,623609019697
10,2048,FW,det_top_k k=256,691351279045
20,2048,FW,det_top_k k=256,1368773872521
30,2048,FW,det_top_k k=256,2046196465998
1,4096,FW,det_top_k k=256,266417516045
2,4096,FW,det_top_k k=256,504998034459
3,4096,FW,det_top_k k=256,743578552872
4,4096,FW,det_top_k k=256,982159071286
5,4096,FW,det_top_k k=256,1220739589699
6,4096,FW,det_top_k k=256,1459320108113
7,4096,FW,det_top_k k=256,1697900626526
8,4096,FW,det_top_k k=256,1936481144939
9,4096,FW,det_top_k k=256,2175061663353
10,4096,FW,det_top_k k=256,2413642181766
20,4096,FW,det_top_k k=256,4799447365901
30,4096,FW,det_top_k k=256,7185252550035
1,128,BW,det_top_k k=256,5455593472
2,128,BW,det_top_k k=256,7972175872
3,128,BW,det_top_k k=256,10488758272
4,128,BW,det_top_k k=256,13005340672
5,128,BW,det_top_k k=256,15521923072
6,128,BW,det_top_k k=256,18038505472
7,128,BW,det_top_k k=256,20555087872
8,128,BW,det_top_k k=256,23071670272
9,128,BW,det_top_k k=256,25588252672
10,128,BW,det_top_k k=256,28104835072
20,128,BW,det_top_k k=256,53270659072
30,128,BW,det_top_k k=256,78436483072
1,256,BW,det_top_k k=256,11575083008
2,256,BW,det_top_k k=256,17312890880
3,256,BW,det_top_k k=256,23050698752
4,256,BW,det_top_k k=256,28788506624
5,256,BW,det_top_k k=256,34526314496
6,256,BW,det_top_k k=256,40264122368
7,256,BW,det_top_k k=256,46001930240
8,256,BW,det_top_k k=256,51739738112
9,256,BW,det_top_k k=256,57477545984
10,256,BW,det_top_k k=256,63215353856
20,256,BW,det_top_k k=256,120593432576
30,256,BW,det_top_k k=256,177971511296
1,512,BW,det_top_k k=256,26229981184
2,512,BW,det_top_k k=256,40826159104
3,512,BW,det_top_k k=256,55422337024
4,512,BW,det_top_k k=256,70018514944
5,512,BW,det_top_k k=256,84614692864
6,512,BW,det_top_k k=256,99210870784
7,512,BW,det_top_k k=256,113807048704
8,512,BW,det_top_k k=256,128403226624
9,512,BW,det_top_k k=256,142999404544
10,512,BW,det_top_k k=256,157595582464
20,512,BW,det_top_k k=256,303557361664
30,512,BW,det_top_k k=256,449519140864
1,1024,BW,det_top_k k=256,65203453952
2,1024,BW,det_top_k k=256,107180048384
3,1024,BW,det_top_k k=256,149156642816
4,1024,BW,det_top_k k=256,191133237248
5,1024,BW,det_top_k k=256,233109831680
6,1024,BW,det_top_k k=256,275086426112
7,1024,BW,det_top_k k=256,317063020544
8,1024,BW,det_top_k k=256,359039614976
9,1024,BW,det_top_k k=256,401016209408
10,1024,BW,det_top_k k=256,442992803840
20,1024,BW,det_top_k k=256,862758748160
30,1024,BW,det_top_k k=256,1282524692480
1,2048,BW,det_top_k k=256,181805105152
2,2048,BW,det_top_k k=256,317197238272
3,2048,BW,det_top_k k=256,452589371392
4,2048,BW,det_top_k k=256,587981504512
5,2048,BW,det_top_k k=256,723373637632
6,2048,BW,det_top_k k=256,858765770752
7,2048,BW,det_top_k k=256,994157903872
8,2048,BW,det_top_k k=256,1129550036992
9,2048,BW,det_top_k k=256,1264942170112
10,2048,BW,det_top_k k=256,1400334303232
20,2048,BW,det_top_k k=256,2754255634432
30,2048,BW,det_top_k k=256,4108176965632
1,4096,BW,det_top_k k=256,569627230208
2,4096,BW,det_top_k k=256,1046469263360
3,4096,BW,det_top_k k=256,1523311296512
4,4096,BW,det_top_k k=256,2000153329664
5,4096,BW,det_top_k k=256,2476995362816
6,4096,BW,det_top_k k=256,2953837395968
7,4096,BW,det_top_k k=256,3430679429120
8,4096,BW,det_top_k k=256,3907521462272
9,4096,BW,det_top_k k=256,4384363495424
10,4096,BW,det_top_k k=256,4861205528576
20,4096,BW,det_top_k k=256,9629625860096
30,4096,BW,det_top_k k=256,14398046191616
1,128,FW,det_top_k k=64,1997859308
2,128,FW,det_top_k k=64,3106075609
3,128,FW,det_top_k k=64,4214291909
4,128,FW,det_top_k k=64,5322508210
5,128,FW,det_top_k k=64,6430724510
6,128,FW,det_top_k k=64,7538940811
7,128,FW,det_top_k k=64,8647157111
8,128,FW,det_top_k k=64,9755373412
9,128,FW,det_top_k k=64,10863589712
10,128,FW,det_top_k k=64,11971806013
20,128,FW,det_top_k k=64,23053969017
30,128,FW,det_top_k k=64,34136132022
1,256,FW,det_top_k k=64,4327929255
2,256,FW,det_top_k k=64,6896945999
3,256,FW,det_top_k k=64,9465962742
4,256,FW,det_top_k k=64,12034979485
5,256,FW,det_top_k k=64,14603996229
6,256,FW,det_top_k k=64,17173012972
7,256,FW,det_top_k k=64,19742029715
8,256,FW,det_top_k k=64,22311046458
9,256,FW,det_top_k k=64,24880063202
10,256,FW,det_top_k k=64,27449079945
20,256,FW,det_top_k k=64,53139247378
30,256,FW,det_top_k k=64,78829414811
1,512,FW,det_top_k k=64,10196815595
2,512,FW,det_top_k k=64,16896179671
3,512,FW,det_top_k k=64,23595543746
4,512,FW,det_top_k k=64,30294907822
5,512,FW,det_top_k k=64,36994271897
6,512,FW,det_top_k k=64,43693635972
7,512,FW,det_top_k k=64,50393000048
8,512,FW,det_top_k k=64,57092364123
9,512,FW,det_top_k k=64,63791728198
10,512,FW,det_top_k k=64,70491092274
20,512,FW,det_top_k k=64,137484733028
30,512,FW,det_top_k k=64,204478373782
1,1024,FW,det_top_k k=64,26769573136
2,1024,FW,det_top_k k=64,46564616737
3,1024,FW,det_top_k k=64,66359660337
4,1024,FW,det_top_k k=64,86154703937
5,1024,FW,det_top_k k=64,105949747538
6,1024,FW,det_top_k k=64,125744791138
7,1024,FW,det_top_k k=64,145539834738
8,1024,FW,det_top_k k=64,165334878338
9,1024,FW,det_top_k k=64,185129921939
10,1024,FW,det_top_k k=64,204924965539
20,1024,FW,det_top_k k=64,402875401542
30,1024,FW,det_top_k k=64,600825837545
1,2048,FW,det_top_k k=64,79255025812
2,2048,FW,det_top_k k=64,144581366055
3,2048,FW,det_top_k k=64,209907706299
4,2048,FW,det_top_k k=64,275234046543
5,2048,FW,det_top_k k=64,340560386786
6,2048,FW,det_top_k k=64,405886727030
7,2048,FW,det_top_k k=64,471213067274
