batch, input_dim, output_dim, total_forward_time(ms), mean_forward_time(ms)
1,1,1,614.0759887695312,0.06140759887695312
1,1,2,447.16156005859375,0.044716156005859375
1,1,4,465.6595458984375,0.04656595458984375
1,1,8,468.1917724609375,0.04681917724609375
1,1,16,456.3255920410156,0.045632559204101565
1,1,32,490.0860290527344,0.04900860290527344
1,1,64,447.9706115722656,0.044797061157226564
1,1,128,453.9884338378906,0.045398843383789064
1,1,256,460.8244934082031,0.046082449340820314
1,1,512,460.63458251953125,0.04606345825195313
1,1,1024,462.886474609375,0.0462886474609375
1,1,2048,465.7196350097656,0.04657196350097656
1,2,1,472.2404479980469,0.04722404479980469
1,2,2,491.6563415527344,0.04916563415527344
1,2,4,493.42950439453125,0.04934295043945312
1,2,8,465.83843994140625,0.046583843994140624
1,2,16,460.5237121582031,0.046052371215820315
1,2,32,470.6525573730469,0.04706525573730469
1,2,64,528.337890625,0.0528337890625
1,2,128,650.7125854492188,0.06507125854492188
1,2,256,573.1521606445312,0.057315216064453126
1,2,512,474.2878723144531,0.047428787231445314
1,2,1024,485.8675537109375,0.04858675537109375
1,2,2048,636.2432861328125,0.06362432861328125
1,4,1,562.8396606445312,0.05628396606445313
1,4,2,468.43878173828125,0.046843878173828124
1,4,4,469.7964172363281,0.046979641723632816
1,4,8,463.52532958984375,0.04635253295898437
1,4,16,464.3838195800781,0.04643838195800781
1,4,32,463.36029052734375,0.04633602905273437
1,4,64,472.427490234375,0.0472427490234375
1,4,128,463.40594482421875,0.04634059448242187
1,4,256,463.02252197265625,0.04630225219726562
1,4,512,465.6601867675781,0.04656601867675781
1,4,1024,466.14044189453125,0.04661404418945313
1,4,2048,466.6705627441406,0.04666705627441406
1,8,1,462.75689697265625,0.04627568969726562
1,8,2,466.6327209472656,0.046663272094726566
1,8,4,468.2283020019531,0.046822830200195314
1,8,8,466.5960388183594,0.04665960388183594
1,8,16,468.0038757324219,0.04680038757324219
1,8,32,463.2704772949219,0.046327047729492185
1,8,64,461.5471496582031,0.04615471496582031
1,8,128,467.90472412109375,0.046790472412109374
1,8,256,470.9241638183594,0.047092416381835936
1,8,512,464.9679260253906,0.04649679260253906
1,8,1024,461.17498779296875,0.04611749877929688
1,8,2048,462.0927734375,0.04620927734375
1,16,1,488.0144348144531,0.048801443481445314
1,16,2,467.0257263183594,0.046702572631835935
1,16,4,465.5989074707031,0.046559890747070315
1,16,8,458.43927001953125,0.045843927001953125
1,16,16,468.9655456542969,0.04689655456542969
1,16,32,605.8059692382812,0.060580596923828126
1,16,64,465.617431640625,0.0465617431640625
1,16,128,467.0135498046875,0.04670135498046875
1,16,256,617.8614501953125,0.06178614501953125
1,16,512,504.4518127441406,0.05044518127441406
1,16,1024,465.3805847167969,0.04653805847167969
1,16,2048,469.1993103027344,0.046919931030273435
1,32,1,468.4828186035156,0.04684828186035156
1,32,2,472.2655334472656,0.047226553344726564
1,32,4,461.00006103515625,0.046100006103515626
1,32,8,470.5086975097656,0.04705086975097656
1,32,16,463.0355224609375,0.04630355224609375
1,32,32,471.13580322265625,0.047113580322265626
1,32,64,470.9068908691406,0.047090689086914064
1,32,128,468.74847412109375,0.04687484741210937
1,32,256,467.70391845703125,0.04677039184570313
1,32,512,465.7582092285156,0.04657582092285156
1,32,1024,478.0282897949219,0.04780282897949219
1,32,2048,482.0977478027344,0.04820977478027344
1,64,1,475.41375732421875,0.04754137573242188
1,64,2,492.39306640625,0.049239306640625
1,64,4,474.80413818359375,0.04748041381835937
1,64,8,463.94921875,0.046394921875
1,64,16,473.4722900390625,0.04734722900390625
1,64,32,472.8083190917969,0.047280831909179685
1,64,64,470.2470703125,0.04702470703125
1,64,128,502.2689514160156,0.050226895141601564
1,64,256,654.6188354492188,0.06546188354492187
1,64,512,650.0115356445312,0.06500115356445313
1,64,1024,648.7393798828125,0.06487393798828126
1,64,2048,652.313232421875,0.0652313232421875
1,128,1,631.4077758789062,0.06314077758789062
1,128,2,560.4705810546875,0.05604705810546875
1,128,4,462.5530700683594,0.04625530700683594
1,128,8,513.7765502929688,0.05137765502929687
1,128,16,656.5604248046875,0.06565604248046875
1,128,32,646.5070190429688,0.06465070190429688
1,128,64,503.9625244140625,0.05039625244140625
1,128,128,456.56951904296875,0.045656951904296875
1,128,256,462.02642822265625,0.046202642822265626
1,128,512,462.0245056152344,0.04620245056152344
1,128,1024,465.310546875,0.0465310546875
1,128,2048,466.2105407714844,0.046621054077148436
1,256,1,459.4262390136719,0.045942623901367184
1,256,2,521.150146484375,0.0521150146484375
1,256,4,631.3506469726562,0.06313506469726562
1,256,8,639.6997680664062,0.06396997680664063
1,256,16,565.166748046875,0.0565166748046875
1,256,32,472.7937927246094,0.04727937927246094
1,256,64,479.0013122558594,0.04790013122558594
1,256,128,470.6448974609375,0.04706448974609375
1,256,256,466.3500061035156,0.046635000610351564
1,256,512,467.64691162109375,0.04676469116210937
1,256,1024,472.4517517089844,0.047245175170898435
1,256,2048,467.0809326171875,0.04670809326171875
1,512,1,461.78485107421875,0.046178485107421875
1,512,2,464.3577880859375,0.04643577880859375
1,512,4,462.50775146484375,0.046250775146484374
