steps,profiled_steps,batch,k,input_dim,output_dim,mean runtime_jit (ms),mean runtime_nojit (ms),mean runtime_full (ms)
1000,0,2,256,1024,1024,0.4567359983921051,0.5453119874000549,0.10451199859380722
1000,0,2,256,1024,2048,0.44572800397872925,0.4398399889469147,0.11840000003576279
1000,0,2,256,2048,64,0.35548800230026245,0.41760000586509705,0.07503999769687653
1000,0,2,256,2048,128,0.45471999049186707,0.5499839782714844,0.10092800110578537
1000,0,2,256,2048,256,0.4904640018939972,0.5341119766235352,0.09980800002813339
1000,0,2,256,2048,512,0.3567360043525696,0.4506880044937134,0.08710400015115738
1000,0,2,256,2048,1024,0.36825600266456604,0.42902401089668274,0.10972800105810165
1000,0,2,256,2048,2048,0.6007680296897888,0.6119040250778198,0.15491199493408203
1000,0,4,64,64,64,0.47939199209213257,0.5277439951896667,0.11555200070142746
1000,0,4,64,64,128,0.45583999156951904,0.5505279898643494,0.09628800302743912
1000,0,4,64,64,256,0.4559360146522522,0.680351972579956,0.09964799880981445
1000,0,4,64,64,512,0.37222400307655334,0.43030399084091187,0.07417599856853485
1000,0,4,64,64,1024,0.35888001322746277,0.46214398741722107,0.07433599978685379
1000,0,4,64,64,2048,0.48470398783683777,0.576960027217865,0.09814400225877762
1000,0,4,64,128,64,0.35094401240348816,0.39958399534225464,0.0716480016708374
1000,0,4,64,128,128,0.3596160113811493,0.39983999729156494,0.06956800073385239
1000,0,4,64,128,256,0.5217599868774414,0.5363839864730835,0.12566399574279785
1000,0,4,64,128,512,0.35580798983573914,0.42767998576164246,0.07231999933719635
1000,0,4,64,128,1024,0.35555198788642883,0.43212801218032837,0.07459200173616409
1000,0,4,64,128,2048,0.35311999917030334,0.4204480051994324,0.08073599636554718
1000,0,4,64,256,64,0.4808320105075836,0.5295360088348389,0.0960640013217926
1000,0,4,64,256,128,0.35097599029541016,0.4270080029964447,0.0735040009021759
1000,0,4,64,256,256,0.7777919769287109,0.43647998571395874,0.07302399724721909
1000,0,4,64,256,512,0.4528000056743622,0.5455359816551208,0.09520000219345093
1000,0,4,64,256,1024,0.4525440037250519,0.5611839890480042,0.09545599669218063
1000,0,4,64,256,2048,0.4800640046596527,0.5447679758071899,0.11142399907112122
1000,0,4,64,512,64,0.45392000675201416,0.5314559936523438,0.0952640026807785
1000,0,4,64,512,128,0.36902400851249695,0.4110400080680847,0.08822400122880936
1000,0,4,64,512,256,0.3542400002479553,0.42713600397109985,0.0737600028514862
1000,0,4,64,512,512,0.3585920035839081,0.44576001167297363,0.07814399898052216
1000,0,4,64,512,1024,0.45392000675201416,0.5490880012512207,0.10076799988746643
1000,0,4,64,512,2048,0.354559987783432,0.43196800351142883,0.10678400099277496
1000,0,4,64,1024,64,0.35446399450302124,0.4327999949455261,0.07251200079917908
1000,0,4,64,1024,128,0.35385599732398987,0.43164798617362976,0.0724480003118515
1000,0,4,64,1024,256,0.3543039858341217,0.4084799885749817,0.07491199672222137
1000,0,4,64,1024,512,0.3554239869117737,0.4751040041446686,0.07827199995517731
1000,0,4,64,1024,1024,0.45180800557136536,0.5502719879150391,0.10419200360774994
1000,0,4,64,1024,2048,0.47279998660087585,0.5326399803161621,0.13007999956607819
1000,0,4,64,2048,64,0.39184001088142395,0.41231998801231384,0.0724480003118515
1000,0,4,64,2048,128,0.4551680088043213,0.5678079724311829,0.09593600034713745
1000,0,4,64,2048,256,0.3635520040988922,0.43801599740982056,0.07865600287914276
1000,0,4,64,2048,512,0.39481601119041443,0.41705599427223206,0.08953599631786346
1000,0,4,64,2048,1024,0.49161601066589355,0.5392320156097412,0.11807999759912491
1000,0,4,64,2048,2048,0.46934399008750916,0.5817919969558716,0.16169600188732147
1000,0,4,256,256,64,0.47276800870895386,0.5256320238113403,0.09548799693584442
1000,0,4,256,256,128,0.7619519829750061,0.6033599972724915,0.09647999703884125
1000,0,4,256,256,256,0.5520640015602112,0.5440959930419922,0.09734400361776352
1000,0,4,256,256,512,0.4810880124568939,0.5520960092544556,0.09567999839782715
1000,0,4,256,256,1024,0.5350720286369324,0.5627840161323547,0.09612800180912018
1000,0,4,256,256,2048,0.3689279854297638,0.43887999653816223,0.09811200201511383
1000,0,4,256,512,64,0.4692800045013428,0.5282559990882874,0.11539199948310852
1000,0,4,256,512,128,0.5344319939613342,0.5583040118217468,0.09507200121879578
1000,0,4,256,512,256,0.36345601081848145,0.43699198961257935,0.07363200187683105
1000,0,4,256,512,512,0.35311999917030334,0.4236159920692444,0.07481600344181061
1000,0,4,256,512,1024,0.4784959852695465,0.5257599949836731,0.10060799866914749
1000,0,4,256,512,2048,0.45631998777389526,0.5342079997062683,0.12422399967908859
1000,0,4,256,1024,64,0.3540160059928894,0.43091198801994324,0.07126399874687195
1000,0,4,256,1024,128,0.45763200521469116,0.5674239993095398,0.09612800180912018
1000,0,4,256,1024,256,0.3498240113258362,0.46806401014328003,0.07174400240182877
1000,0,4,256,1024,512,0.3529599905014038,0.4381439983844757,0.07795199751853943
1000,0,4,256,1024,1024,0.4535680115222931,0.5706239938735962,0.10262399911880493
1000,0,4,256,1024,2048,0.4514879882335663,0.4481920003890991,0.12188799679279327
1000,0,4,256,2048,64,0.34534400701522827,0.3996480107307434,0.08502399921417236
1000,0,4,256,2048,128,0.34534400701522827,0.4028800129890442,0.07513599842786789
1000,0,4,256,2048,256,0.46214398741722107,0.6938880085945129,0.1098880022764206
1000,0,4,256,2048,512,0.48310399055480957,0.5281599760055542,0.1029760017991066
1000,0,4,256,2048,1024,0.4785279929637909,0.6114240288734436,0.13577599823474884
1000,0,4,256,2048,2048,0.6295999884605408,0.6650559902191162,0.16502399742603302
1000,0,8,64,64,64,0.4564160108566284,0.588703989982605,0.10118400305509567
1000,0,8,64,64,128,0.4833599925041199,0.5583040118217468,0.09808000177145004
1000,0,8,64,64,256,0.4605120122432709,0.5507199764251709,0.09718400239944458
1000,0,8,64,64,512,0.3574399948120117,0.4134399890899658,0.08806400001049042
1000,0,8,64,64,1024,0.3546240031719208,0.4129599928855896,0.07980799674987793
1000,0,8,64,64,2048,0.35452800989151,0.42742401361465454,0.10502400249242783
1000,0,8,64,128,64,0.35337600111961365,0.43007999658584595,0.07276800274848938
1000,0,8,64,128,128,0.35552000999450684,0.43296000361442566,0.08691199868917465
1000,0,8,64,128,256,0.45814400911331177,0.4156799912452698,0.07295999675989151
1000,0,8,64,128,512,0.4734399914741516,0.5261759757995605,0.11372800171375275
1000,0,8,64,128,1024,0.4790720045566559,0.532256007194519,0.10976000130176544
1000,0,8,64,128,2048,0.4572159945964813,0.5539519786834717,0.12291199713945389
1000,0,8,64,256,64,0.45635199546813965,0.5534399747848511,0.09647999703884125
1000,0,8,64,256,128,0.45443201065063477,0.5448960065841675,0.09667199850082397
1000,0,8,64,256,256,0.4978240132331848,0.5273920297622681,0.09404800087213516
1000,0,8,64,256,512,0.35283198952674866,0.42816001176834106,0.07295999675989151
1000,0,8,64,256,1024,0.35385599732398987,0.42876800894737244,0.08105599880218506
1000,0,8,64,256,2048,0.3622719943523407,0.43059200048446655,0.12422399967908859
1000,0,8,64,512,64,0.36902400851249695,0.4118080139160156,0.07315199822187424
1000,0,8,64,512,128,0.35206401348114014,0.42636799812316895,0.07228799909353256
1000,0,8,64,512,256,0.4541119933128357,0.5672000050544739,0.09536000341176987
1000,0,8,64,512,512,0.35315200686454773,0.4068160057067871,0.07276800274848938
1000,0,8,64,512,1024,0.3766080141067505,0.41446399688720703,0.09036800265312195
1000,0,8,64,512,2048,0.35817599296569824,0.44950398802757263,0.13683199882507324
1000,0,8,64,1024,64,0.4554240107536316,0.5619519948959351,0.09612800180912018
1000,0,8,64,1024,128,0.6227200031280518,0.6305599808692932,0.09644799679517746
1000,0,8,64,1024,256,0.36719998717308044,0.40672001242637634,0.07174400240182877
1000,0,8,64,1024,512,0.3548800051212311,0.4310399889945984,0.08857599645853043
1000,0,8,64,1024,1024,0.47916799783706665,0.5316479802131653,0.12371200323104858
1000,0,8,64,1024,2048,1.0825599431991577,0.5690879821777344,0.16195200383663177
1000,0,8,64,2048,64,0.35760000348091125,0.4126400053501129,0.08985599875450134
1000,0,8,64,2048,128,0.4792320132255554,0.573855996131897,0.11644800007343292
1000,0,8,64,2048,256,0.47603198885917664,0.5464959740638733,0.11820799857378006
1000,0,8,64,2048,512,0.4873279929161072,0.5376319885253906,0.14137600362300873
1000,0,8,64,2048,1024,0.3590080142021179,0.41545599699020386,0.1648319959640503
1000,0,8,64,2048,2048,0.4688960015773773,0.48076799511909485,0.22233599424362183
1000,0,8,256,256,64,0.3521920144557953,0.4262079894542694,0.07257600128650665
1000,0,8,256,256,128,0.3511359989643097,0.4246399998664856,0.07318399846553802
1000,0,8,256,256,256,0.3899199962615967,0.4104959964752197,0.07289600372314453
1000,0,8,256,256,512,0.47382399439811707,0.5256639719009399,0.09504000097513199
1000,0,8,256,256,1024,0.4556800127029419,0.5966399908065796,0.10012800246477127
1000,0,8,256,256,2048,0.4182719886302948,0.4467200040817261,0.12284799665212631
1000,0,8,256,512,64,0.3731839954853058,0.4118399918079376,0.07273600250482559
1000,0,8,256,512,128,0.4225279986858368,0.7308480143547058,0.07468800246715546
1000,0,8,256,512,256,0.357695996761322,0.434688001871109,0.08848000317811966
1000,0,8,256,512,512,0.3574720025062561,0.42524799704551697,0.07494399696588516
1000,0,8,256,512,1024,0.37993600964546204,0.419871985912323,0.09148799628019333
1000,0,8,256,512,2048,0.39609599113464355,0.4578559994697571,0.13782399892807007
1000,0,8,256,1024,64,0.35977599024772644,0.434688001871109,0.07180800288915634
1000,0,8,256,1024,128,0.35519999265670776,0.4103359878063202,0.07286400347948074
1000,0,8,256,1024,256,0.45715200901031494,0.5160639882087708,0.0748480036854744
1000,0,8,256,1024,512,0.35705599188804626,0.4153600037097931,0.09545599669218063
1000,0,8,256,1024,1024,0.38153600692749023,0.41868799924850464,0.11641599982976913
1000,0,8,256,1024,2048,0.4662399888038635,0.4729920029640198,0.163455992937088
1000,0,8,256,2048,64,0.35235199332237244,0.44012799859046936,0.09142400324344635
1000,0,8,256,2048,128,0.35731199383735657,0.4310080111026764,0.09478399902582169
1000,0,8,256,2048,256,0.3547520041465759,0.4320000112056732,0.11376000195741653
1000,0,8,256,2048,512,0.3787199854850769,0.41257598996162415,0.13286399841308594
1000,0,8,256,2048,1024,0.38364800810813904,0.41363200545310974,0.16550399363040924
1000,0,8,256,2048,2048,0.6124799847602844,0.6275200247764587,0.22988800704479218
1000,0,16,64,64,64,0.36790400743484497,0.4163840115070343,0.0719359964132309
1000,0,16,64,64,128,0.4753279983997345,0.5780799984931946,0.0974079966545105
1000,0,16,64,64,256,0.3546240031719208,0.41254401206970215,0.0737600028514862
1000,0,16,64,64,512,0.42054399847984314,0.4128960072994232,0.0719040036201477
1000,0,16,64,64,1024,0.37411201000213623,0.4485760033130646,0.08348800241947174
1000,0,16,64,64,2048,0.35843199491500854,0.45763200521469116,0.1050880029797554
1000,0,16,64,128,64,0.37164801359176636,0.41145598888397217,0.07254400104284286
1000,0,16,64,128,128,0.3540799915790558,0.413536012172699,0.08534400165081024
1000,0,16,64,128,256,0.35174399614334106,0.4318400025367737,0.07116799801588058
1000,0,16,64,128,512,0.3533119857311249,0.4292159974575043,0.07222399860620499
1000,0,16,64,128,1024,0.37753599882125854,0.41363200545310974,0.11366400122642517
1000,0,16,64,128,2048,0.37411201000213623,0.41836801171302795,0.10579200088977814
1000,0,16,64,256,64,0.358240008354187,0.42579200863838196,0.07539200037717819
1000,0,16,64,256,128,0.37276801466941833,0.5730559825897217,0.07465600222349167
1000,0,16,64,256,256,0.35494399070739746,0.49590399861335754,0.07519999891519547
1000,0,16,64,256,512,0.3511359989643097,0.42796799540519714,0.07254400104284286
1000,0,16,64,256,1024,0.36742401123046875,0.42630401253700256,0.08160000294446945
1000,0,16,64,256,2048,0.4232960045337677,0.4179840087890625,0.12460800260305405
1000,0,16,64,512,64,0.35257598757743835,0.43113601207733154,0.07212799787521362
1000,0,16,64,512,128,0.3603520095348358,0.4333440065383911,0.07420799881219864
1000,0,16,64,512,256,0.35174399614334106,0.42480000853538513,0.07327999919652939
1000,0,16,64,512,512,0.37779200077056885,0.4108479917049408,0.07327999919652939
1000,0,16,64,512,1024,0.38633599877357483,0.4200640022754669,0.09190399944782257
1000,0,16,64,512,2048,0.3599039912223816,0.4370880126953125,0.137472003698349
1000,0,16,64,1024,64,0.3479680120944977,0.42659199237823486,0.07337599992752075
1000,0,16,64,1024,128,0.35843199491500854,0.41385599970817566,0.07391999661922455
1000,0,16,64,1024,256,0.34963199496269226,0.4270719885826111,0.07222399860620499
1000,0,16,64,1024,512,0.3723520040512085,0.4097279906272888,0.09014400094747543
1000,0,16,64,1024,1024,0.3718079924583435,0.41356799006462097,0.11779200285673141
1000,0,16,64,1024,2048,0.351936012506485,0.43401598930358887,0.16393600404262543
1000,0,16,64,2048,64,0.36985599994659424,0.41020798683166504,0.09008000046014786
1000,0,16,64,2048,128,0.3763520121574402,0.4152959883213043,0.09507200121879578
1000,0,16,64,2048,256,0.36000001430511475,0.438400000333786,0.1136000007390976
1000,0,16,64,2048,512,0.3877120018005371,0.41920000314712524,0.14032000303268433
1000,0,16,64,2048,1024,0.37968000769615173,0.40870401263237,0.16857600212097168
1000,0,16,64,2048,2048,0.46134400367736816,0.4773760139942169,0.22419199347496033
1000,0,16,256,256,64,0.37779200077056885,0.41462400555610657,0.07452800124883652
1000,0,16,256,256,128,0.3537920117378235,0.4254400134086609,0.07273600250482559
1000,0,16,256,256,256,0.35942399501800537,0.41519999504089355,0.07311999797821045
1000,0,16,256,256,512,0.37296000123023987,0.41046398878097534,0.07184000313282013
1000,0,16,256,256,1024,0.3710080087184906,0.41152000427246094,0.08105599880218506
1000,0,16,256,256,2048,0.3752000033855438,0.4191359877586365,0.12483199685811996
1000,0,16,256,512,64,0.35788801312446594,0.4553599953651428,0.07337599992752075
1000,0,16,256,512,128,0.354559987783432,0.4471679925918579,0.07311999797821045
1000,0,16,256,512,256,0.42323198914527893,0.41942399740219116,0.07273600250482559
1000,0,16,256,512,512,0.35369598865509033,0.41519999504089355,0.07648000121116638
1000,0,16,256,512,1024,0.4015359878540039,0.4419519901275635,0.09388799965381622
1000,0,16,256,512,2048,0.41276800632476807,0.41920000314712524,0.14131200313568115
1000,0,16,256,1024,64,0.3714880049228668,0.41206398606300354,0.07209599763154984
1000,0,16,256,1024,128,0.3578239977359772,0.42339199781417847,0.07443200051784515
1000,0,16,256,1024,256,0.4256959855556488,0.4193600118160248,0.07398399710655212
1000,0,16,256,1024,512,0.35654398798942566,0.43251198530197144,0.0920960009098053
1000,0,16,256,1024,1024,0.3762879967689514,0.4163840115070343,0.11817599833011627
1000,0,16,256,1024,2048,0.47020798921585083,0.4700480103492737,0.16735999286174774
1000,0,16,256,2048,64,0.3728959858417511,0.42982399463653564,0.09011200070381165
1000,0,16,256,2048,128,0.44863998889923096,0.5001599788665771,0.09756799787282944
1000,0,16,256,2048,256,0.35606399178504944,0.4066239893436432,0.13094399869441986
1000,0,16,256,2048,512,0.38067200779914856,0.41683200001716614,0.1363839954137802
1000,0,16,256,2048,1024,0.3851200044155121,0.41596800088882446,0.16944000124931335
1000,0,16,256,2048,2048,0.6248000264167786,0.6253759860992432,0.2245440036058426
1000,0,32,64,64,64,0.35571199655532837,0.4091840088367462,0.07215999811887741
1000,0,32,64,64,128,0.3527039885520935,0.44227200746536255,0.07257600128650665
1000,0,32,64,64,256,0.37193599343299866,0.4113920032978058,0.07315199822187424
1000,0,32,64,64,512,0.3528960049152374,0.411327987909317,0.07340800017118454
1000,0,32,64,64,1024,0.37811198830604553,0.42105600237846375,0.08249600231647491
1000,0,32,64,64,2048,0.37599998712539673,0.4171839952468872,0.10531199723482132
1000,0,32,64,128,64,0.4524480104446411,0.41334399580955505,0.0721919983625412
1000,0,32,64,128,128,0.37619200348854065,0.4119679927825928,0.07177600264549255
1000,0,32,64,128,256,0.37561601400375366,0.41206398606300354,0.07321599870920181
1000,0,32,64,128,512,0.3585279881954193,0.41737601161003113,0.0883840024471283
1000,0,32,64,128,1024,0.4574719965457916,0.5483199954032898,0.09795200079679489
1000,0,32,64,128,2048,0.4557119905948639,0.5646399855613708,0.1247360035777092
1000,0,32,64,256,64,0.4618239998817444,0.5520319938659668,0.09667199850082397
1000,0,32,64,256,128,0.35417601466178894,0.4086399972438812,0.07311999797821045
1000,0,32,64,256,256,0.3540480136871338,0.6353600025177002,0.07289600372314453
1000,0,32,64,256,512,0.35385599732398987,0.4101119935512543,0.07280000299215317
1000,0,32,64,256,1024,0.3535679876804352,0.43142399191856384,0.0799039974808693
1000,0,32,64,256,2048,0.36800000071525574,0.43487998843193054,0.1244800016283989
1000,0,32,64,512,64,0.48607999086380005,0.5311359763145447,0.10140799731016159
1000,0,32,64,512,128,0.46377599239349365,0.5504639744758606,0.09574399888515472
1000,0,32,64,512,256,0.4912639856338501,0.530784010887146,0.0950080007314682
1000,0,32,64,512,512,0.35123199224472046,0.41305598616600037,0.08617600053548813
1000,0,32,64,512,1024,0.37196800112724304,0.4166080057621002,0.09804800152778625
1000,0,32,64,512,2048,0.3760319948196411,0.4330559968948364,0.14528000354766846
1000,0,32,64,1024,64,0.3529599905014038,0.42979198694229126,0.08854400366544724
1000,0,32,64,1024,128,0.3754880130290985,0.4143039882183075,0.07238399982452393
1000,0,32,64,1024,256,0.37935999035835266,0.4126720130443573,0.07353600114583969
1000,0,32,64,1024,512,0.3754560053348541,0.41276800632476807,0.09743999689817429
1000,0,32,64,1024,1024,0.3657279908657074,0.4338879883289337,0.1252799928188324
1000,0,32,64,1024,2048,0.3798399865627289,0.43167999386787415,0.17584000527858734
1000,0,32,64,2048,64,0.3733760118484497,0.41308799386024475,0.09094399958848953
1000,0,32,64,2048,128,0.3715200126171112,0.4327999949455261,0.09676799923181534
1000,0,32,64,2048,256,0.37049600481987,0.49433600902557373,0.12332800030708313
1000,0,32,64,2048,512,0.381087988615036,0.47363200783729553,0.1459520012140274
1000,0,32,64,2048,1024,0.37279999256134033,0.41334399580955505,0.1767680048942566
1000,0,32,64,2048,2048,0.47516798973083496,0.48841598629951477,0.24223999679088593
1000,0,32,256,256,64,0.36217600107192993,0.44115200638771057,0.07379200309515
1000,0,32,256,256,128,0.3534719944000244,0.45900800824165344,0.07305599749088287
1000,0,32,256,256,256,0.3571839928627014,0.4314559996128082,0.07395199686288834
1000,0,32,256,256,512,0.3786880075931549,0.41679999232292175,0.07321599870920181
