layer_type,fp16,LR,d_model (encoder_embed_dim),d_ffn (encoder_ffn_embed_dim),n_heads (encoder_attention_heads),d_head (encoder_head_dim),n_layers (encoder_layers),d_model (decoder_embed_dim),d_ffn (decoder_ffn_embed_dim),n_heads (decoder_attention_heads),d_head (decoder_head_dim),n_layers (decoder_layers),Total Params (formula) (no bias or LayerNorm params),dropout,batch size (max-tokens),trainable params (fairseq log),application_id,experiment,BEST_BLEU_VAL_EPOCH_10,BEST_BLEU_VAL_EPOCH_20,BEST_BLEU_VAL_EPOCH_30,BEST_BLEU_VAL_EPOCH_120,BEST_LOSS_VAL_EPOCH_10,BEST_LOSS_VAL_EPOCH_20,BEST_LOSS_VAL_EPOCH_30,BEST_LOSS_VAL_EPOCH_120,BEST_LOSS_TRAIN_EPOCH_10,BEST_LOSS_TRAIN_EPOCH_20,BEST_LOSS_TRAIN_EPOCH_30,BEST_LOSS_TRAIN_EPOCH_-1,philly_compute_tim,epoch 1,epoch 2,epoch 3,epoch 4,epoch 30,Median
baseline,fp16,0.0005,512,1024,4,128,2,512,1024,4,128,2,18411520,0.3,8192,,1583898264103_234417,015fc86d,26.92000008,30.51000023,31.56999969,33.40999985,4.65899992,4.316999912,4.21600008,4.079999924,4.665999889,4.119999886,3.917999983,3.467999935,3:20:32,24.744,23.493,23.872,23.708,23.497,23.71
baseline,fp16,0.0005,512,1024,4,128,2,512,1024,4,128,2,18411520,0.3,8192,,1583898264103_234420,015fc86d,26.92000008,30.51000023,31.56999969,33.34000015,4.65899992,4.316999912,4.21600008,4.078999996,4.665999889,4.119999886,3.917999983,3.467999935,3:56:31,30.144,27.364,27.438,27.545,28.608,27.55
baseline,fp16,0.0005,512,1024,4,128,3,512,1024,4,128,3,23654400,0.3,8192,,1583898264103_234424,015fc86d,28.67000008,31.65999985,32.68000031,34.00999832,4.465000153,4.136000156,4.053999901,4.000999928,4.462999821,3.890000105,3.680999994,3.210999966,4:19:09,36.803,35.151,34.499,34.77,33.238,34.77
baseline,fp16,0.0005,512,1024,4,128,3,512,1024,4,128,3,23654400,0.3,8192,,1583898264103_234421,015fc86d,28.67000008,31.63999939,32.65999985,34.04000092,4.465000153,4.136000156,4.052999973,4.002999783,4.462999821,3.890000105,3.680999994,3.210999966,4:11:37,32.707,31.604,31.711,31.572,31.636,31.64
baseline,fp16,0.0005,512,1024,4,128,4,512,1024,4,128,4,28897280,0.3,8192,,1583898264103_234430,015fc86d,29.02000046,32.34000015,33.11999893,34.25,4.397999763,4.074999809,4.005000114,3.977999926,4.40500021,3.785000086,3.556999922,3.032999992,?,45.515,42.607,42.822,43.189,41.38,42.82
baseline,fp16,0.0005,512,1024,4,128,4,512,1024,4,128,4,28897280,0.3,8192,,1583898264103_234428,015fc86d,29.02000046,32.34000015,33.11999893,34.25,4.397999763,4.074999809,4.005000114,3.977999926,4.40500021,3.785000086,3.556999922,3.032999992,4:33:59,41.031,39.701,39.514,39.787,41.683,39.79
baseline,fp16,0.0005,512,1024,4,128,5,512,1024,4,128,5,34140160,0.3,8192,,1583898264103_234415,015fc86d,29.71999931,32.84999847,33.56999969,34.43999863,4.289999962,4.005000114,3.963000059,3.95600009,4.294000149,3.686000109,3.448999882,2.885999918,7:52:42,54.252,52.366,51.557,49.463,208.387,52.37
baseline,fp16,0.0005,512,1024,4,128,5,512,1024,4,128,5,34140160,0.3,8192,,1583898264103_234426,015fc86d,29.71999931,32.84999847,33.61999893,34.45999908,4.289999962,4.006999969,3.967000008,3.953000069,4.294000149,3.686000109,3.448999882,2.88499999,4:54:39,49.917,48.155,48.087,48.349,48.731,48.35
baseline,fp16,0.0005,512,1024,4,128,6,512,1024,4,128,6,39383040,0.3,8192,,1583898264103_234418,015fc86d,30.01000023,33.13999939,33.86000061,34.45000076,4.252999783,3.973999977,3.938999891,3.938999891,4.243000031,3.618000031,3.368999958,2.762000084,6:04:40,56.779,55.785,55.686,55.607,58.892,55.79
baseline,fp16,0.0005,512,1024,4,128,6,512,1024,4,128,6,39383040,0.3,8192,,1583898264103_234423,015fc86d,29.89999962,33.06000137,33.97000122,34.47000122,4.254000187,3.974999905,3.938999891,3.938999891,4.243000031,3.618000031,3.368999958,2.762000084,5:58:20,58.335,57.092,57.263,56.891,57.188,57.19
